sample_id,hole_id,depth_from,depth_to,sample_no,im,tm,ash,vm,fc,sulphur,gross_cv,net_cv,sg,rd,hgi,seam_code_quality,seam_code_73,quality_seam_label,seam_label_73
53,BC01C,50.7,51.0,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
54,BC01C,51.0,51.4,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
55,BC01C,51.4,52.0,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
56,BC01C,52.0,52.45,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
57,BC01C,52.45,52.7,42,6.81,34.6711293851747,36.5907004313637,19.1413590901438,9.59681109331784,0.498781966331669,1652.04438771217,0.0,1.4611325977857,0.0,0.0,33,22,G2b3,G2b3
58,BC01C,52.7,52.95,42,6.81,34.6711293851747,36.5907004313637,19.1413590901438,9.59681109331784,0.498781966331669,1652.04438771217,0.0,1.4611325977857,0.0,0.0,33,22,G2b3,G2b3
59,BC01C,52.95,53.2,42,6.81,34.6711293851747,36.5907004313637,19.1413590901438,9.59681109331784,0.498781966331669,1652.04438771217,0.0,1.4611325977857,0.0,0.0,0.0,0.0,"",""
60,BC01C,53.2,53.5,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
61,BC01C,53.5,53.8,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
62,BC01C,53.8,54.2,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
63,BC01C,54.2,55.55,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
64,BC01C,55.55,55.8,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
65,BC01C,55.8,56.1,43,9.96,39.6652614474267,16.8394255300232,27.0480632931186,16.4532832032867,0.510674192035941,2730.88401648759,0.0,1.28033870731667,0.0,0.0,37,23,G2b2,G2b2
66,BC01C,56.1,56.45,44,6.01,30.9789729569151,38.5482436035629,21.3343994590175,9.13838398050444,0.27442448990319,1743.61257783339,0.0,1.47888506732732,0.0,0.0,37,23,G2b2,G2b2
67,BC01C,56.45,56.7,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
68,BC01C,56.7,56.9,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
69,BC01C,56.9,57.1,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
70,BC01C,57.1,57.3,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
71,BC01C,57.3,57.6,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
72,BC01C,57.6,58.0,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
73,BC01C,58.0,58.5,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
74,BC01C,58.5,59.2,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
75,BC01C,59.2,59.65,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
76,BC01C,59.65,59.9,45,10.79,38.5046850719599,22.0030236812528,24.9240511403347,14.5682401064527,0.411048719780185,2423.2917834809,0.0,1.34389896184902,0.0,0.0,40,24,G2b1,G2b1
77,BC01C,59.9,60.25,46,7.47,34.2616246289482,34.0196092545193,21.2400690823869,10.4786970341457,0.418315739959746,1839.42411007979,0.0,1.44565873058544,0.0,0.0,42,25,G2a2,G2a
78,BC01C,60.25,60.6,46,7.47,34.2616246289482,34.0196092545193,21.2400690823869,10.4786970341457,0.418315739959746,1839.42411007979,0.0,1.44565873058544,0.0,0.0,0.0,25,"",G2a
79,BC01C,60.6,60.9,46,7.47,34.2616246289482,34.0196092545193,21.2400690823869,10.4786970341457,0.418315739959746,1839.42411007979,0.0,1.44565873058544,0.0,0.0,43,25,G2a1,G2a
80,BC01C,60.9,61.2,46,7.47,34.2616246289482,34.0196092545193,21.2400690823869,10.4786970341457,0.418315739959746,1839.42411007979,0.0,1.44565873058544,0.0,0.0,43,25,G2a1,G2a
81,BC01C,61.2,61.5,47,5.05,28.189237643156,51.7827407355202,15.6475651175563,4.38763758000317,0.358789106499071,910.071896358478,0.0,1.68782965091876,0.0,0.0,0.0,0.0,"",""
82,BC01C,61.5,61.8,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
83,BC01C,61.8,62.05,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
84,BC01C,62.05,62.5,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
85,BC01C,62.5,62.75,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
86,BC01C,62.75,62.95,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
87,BC01C,62.95,63.15,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
88,BC01C,63.15,63.5,48,9.51,38.3869796162548,20.6773296407849,24.9779184635703,15.95777227939,0.428683364278992,2483.78977851546,0.0,1.32584664097106,0.0,0.0,44,26,G1b,G1b
89,BC01C,63.5,63.7,49,5.96,24.8322586692809,45.995140920267,19.8367669371768,9.33583347327531,0.326361003672189,1545.24701422756,0.0,1.63747144184447,0.0,0.0,0.0,0.0,"",""
90,BC01C,63.7,64.2,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
91,BC01C,64.2,64.4,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
92,BC01C,64.4,64.7,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
93,BC01C,64.7,64.95,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
94,BC01C,64.95,65.2,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
95,BC01C,65.2,65.7,50,9.49,37.159268642032,23.0751165546459,24.2062497190893,15.5593650842329,0.47816165822818,2417.69143243115,0.0,1.32908383287034,0.0,0.0,45,27,G1a,G1a
96,BC01C,65.7,66.0,51,1.83,16.5219047553303,76.7497607679493,6.14398781000769,0.584346666712688,0.0670664904955394,116.132936984364,0.0,1.98291803097521,0.0,0.0,0.0,0.0,"",""
97,BC01C,73.0,73.3,52,3.66,27.0110567063472,57.9678187638191,13.3861722000559,1.63495232977782,0.299486498691935,557.941149970116,0.0,1.69641736618677,0.0,0.0,0.0,0.0,"",""
98,BC01C,73.3,73.65,53,7.58,34.5265677710735,29.8362430667218,23.544246229522,12.0929429326827,0.638086132964662,2186.59443890095,0.0,1.41560056999403,0.0,0.0,47,28,F2c2,F2c2
99,BC01C,73.65,74.0,53,7.58,34.5265677710735,29.8362430667218,23.544246229522,12.0929429326827,0.638086132964662,2186.59443890095,0.0,1.41560056999403,0.0,0.0,0.0,0.0,"",""
100,BC01C,74.0,74.75,53,7.58,34.5265677710735,29.8362430667218,23.544246229522,12.0929429326827,0.638086132964662,2186.59443890095,0.0,1.41560056999403,0.0,0.0,48,29,F2c1,F2c1
101,BC01C,74.75,75.05,54,4.4,27.3122943570808,53.6871393878601,15.8677261418492,3.13284011320982,0.178830003841157,809.167750798785,0.0,1.70022716289345,0.0,0.0,0.0,0.0,"",""
102,BC01C,75.05,75.8,55,11.67,38.5530599669443,16.6766995249713,28.4806567053213,16.2834391087598,0.534678117393939,2783.11577491732,0.0,1.29576406466441,0.0,0.0,49,30,F2b,F2b
103,BC01C,75.8,76.5,55,11.67,38.5530599669443,16.6766995249713,28.4806567053213,16.2834391087598,0.534678117393939,2783.11577491732,0.0,1.29576406466441,0.0,0.0,49,30,F2b,F2b
104,BC01C,76.5,77.0,56,8.06,34.6960027579103,24.3257389726784,28.3354044033427,12.6493842657928,0.361963421737752,2516.50523111722,0.0,1.30989167005361,0.0,0.0,49,30,F2b,F2b
105,BC01C,77.0,77.3,56,8.06,34.6960027579103,24.3257389726784,28.3354044033427,12.6493842657928,0.361963421737752,2516.50523111722,0.0,1.30989167005361,0.0,0.0,49,30,F2b,F2b
106,BC01C,77.3,77.6,56,8.06,34.6960027579103,24.3257389726784,28.3354044033427,12.6493842657928,0.361963421737752,2516.50523111722,0.0,1.30989167005361,0.0,0.0,49,30,F2b,F2b
107,BC01C,77.6,78.9,56,8.06,34.6960027579103,24.3257389726784,28.3354044033427,12.6493842657928,0.361963421737752,2516.50523111722,0.0,1.30989167005361,0.0,0.0,51,31,F2a2,F2a2
108,BC01C,78.9,79.1,56,8.06,34.6960027579103,24.3257389726784,28.3354044033427,12.6493842657928,0.361963421737752,2516.50523111722,0.0,1.30989167005361,0.0,0.0,52,31,F2a1,F2a2
109,BC01C,79.4,80.0,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,52,32,F2a1,F2a1
110,BC01C,80.0,80.6,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,52,32,F2a1,F2a1
111,BC01C,80.6,82.2,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,54,33,F1b,F1b
112,BC01C,82.2,82.6,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,54,33,F1b,F1b
113,BC01C,82.6,85.7,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,55,34,F1a,F1a
114,BC01C,85.7,86.4,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,62,35,E2e,E2e
115,BC01C,86.4,87.0,57,12.08,39.6616538461434,9.88342110000171,31.0320114269285,19.4168797923111,0.363869325873235,3123.07903160707,0.0,1.22559468854417,0.0,0.0,62,35,E2e,E2e
116,BC01C,87.0,88.0,58,12.74,40.3940197504925,6.7295151701694,30.625552652197,22.2509124271412,0.387377393989179,3293.19966996898,0.0,1.18718516147421,0.0,0.0,62,35,E2e,E2e
117,BC01C,88.0,91.2,58,12.74,40.3940197504925,6.7295151701694,30.625552652197,22.2509124271412,0.387377393989179,3293.19966996898,0.0,1.18718516147421,0.0,0.0,64,36,E2d2,E2d2
118,BC01C,91.2,92.1,58,12.74,40.3940197504925,6.7295151701694,30.625552652197,22.2509124271412,0.387377393989179,3293.19966996898,0.0,1.18718516147421,0.0,0.0,65,37,E2d1,E2d1
119,BC01C,92.1,92.3,58,12.74,40.3940197504925,6.7295151701694,30.625552652197,22.2509124271412,0.387377393989179,3293.19966996898,0.0,1.18718516147421,0.0,0.0,65,37,E2d1,E2d1
120,BC01C,92.3,94.5,59,11.04,39.5600470793585,12.1242545558807,30.7458040507303,17.5698943140305,0.427550161566543,3041.97897489219,0.0,1.26747103392092,0.0,0.0,66,38,E2c,E2c
121,BC01C,94.5,95.2,59,11.04,39.5600470793585,12.1242545558807,30.7458040507303,17.5698943140305,0.427550161566543,3041.97897489219,0.0,1.26747103392092,0.0,0.0,67,39,E2b,E2b
122,BC01C,95.2,97.7,59,11.04,39.5600470793585,12.1242545558807,30.7458040507303,17.5698943140305,0.427550161566543,3041.97897489219,0.0,1.26747103392092,0.0,0.0,68,40,E2a,E2a
123,BC01C,97.7,98.1,60,6.39,24.1340178444214,40.8007252032702,24.8688689505987,10.1888014034942,0.480271135833735,2086.23751677436,0.0,1.53235170770317,0.0,0.0,0.0,0.0,"",""
124,BC01C,98.1,99.5,61,11.41,37.7720026238613,15.0965121634512,30.6659571069611,16.4655281057263,0.920179213937709,3096.62783150227,0.0,1.2740404767346,0.0,0.0,74,41,E1c3,E1c3
125,BC01C,99.5,101.0,61,11.41,37.7720026238613,15.0965121634512,30.6659571069611,16.4655281057263,0.920179213937709,3096.62783150227,0.0,1.2740404767346,0.0,0.0,77,42,E1c2,E1c2
126,BC01C,101.0,101.7,61,11.41,37.7720026238613,15.0965121634512,30.6659571069611,16.4655281057263,0.920179213937709,3096.62783150227,0.0,1.2740404767346,0.0,0.0,78,43,E1c1,E1c1
127,BC01C,101.7,102.0,61,11.41,37.7720026238613,15.0965121634512,30.6659571069611,16.4655281057263,0.920179213937709,3096.62783150227,0.0,1.2740404767346,0.0,0.0,78,43,E1c1,E1c1
128,BC01C,102.0,103.25,62,12.45,37.0947713935581,13.7699545419501,30.9053388143449,18.2299352501469,0.87298518283069,3167.9159346963,0.0,1.25716844138989,0.0,0.0,79,44,E1b,E1b
129,BC01C,103.25,103.5,62,12.45,37.0947713935581,13.7699545419501,30.9053388143449,18.2299352501469,0.87298518283069,3167.9159346963,0.0,1.25716844138989,0.0,0.0,79,44,E1b,E1b
130,BC01C,103.5,104.0,62,12.45,37.0947713935581,13.7699545419501,30.9053388143449,18.2299352501469,0.87298518283069,3167.9159346963,0.0,1.25716844138989,0.0,0.0,79,44,E1b,E1b
131,BC01C,104.0,104.3,62,12.45,37.0947713935581,13.7699545419501,30.9053388143449,18.2299352501469,0.87298518283069,3167.9159346963,0.0,1.25716844138989,0.0,0.0,79,44,E1b,E1b
132,BC01C,104.3,104.55,63,6.97,21.5111699304757,35.1708447541538,30.9245990473926,12.3933862679779,0.94409331234868,2763.01267972359,0.0,1.48468180638598,0.0,0.0,79,44,E1b,E1b
133,BC01C,104.55,104.8,64,10.66,38.8623036805701,15.7307292629893,28.954812976882,16.4521540795586,0.805451853234486,2913.53902183638,0.0,1.29314061736897,0.0,0.0,79,45,E1b,E1a
134,BC01C,104.8,107.5,64,10.66,38.8623036805701,15.7307292629893,28.954812976882,16.4521540795586,0.805451853234486,2913.53902183638,0.0,1.29314061736897,0.0,0.0,82,45,E1a,E1a
135,BC01C,107.5,107.8,65,7.2,28.4656068448328,33.377947846201,26.6251011323532,11.5313441766129,1.03061943586701,2384.56199527931,0.0,1.46763532770655,0.0,0.0,0.0,0.0,"",""
