hole_id,easting,northing,elevation,total_depth,inclination,year_drilled,geologist,block_no,dh_version,created_at
HS780C,740984.272,2181904.864,569.06,120.0,-90.0,2014,AUT,32I,0.0,2025-10-27 16:49:17
HS1011C,740199.944,2181802.845,589.982,230.0,-90.0,2016,STB,24J,0.0,2025-10-27 16:49:17
HS1067C,740139.397,2181494.923,554.039,239.0,-90.0,2018,CYV,24N,0.0,2025-10-27 16:49:17
HS1255C,742214.577,2181137.176,530.835,114.15,-90.0,2016,CSC,45Q,0.0,2025-10-27 16:49:17
HS1259C,740484.681,2180884.702,526.526,242.0,-90.0,2018,BPL,27T,0.0,2025-10-27 16:49:17
HS1260C,740516.447,2180849.427,526.473,233.5,-90.0,2018,CSC,28T,0.0,2025-10-27 16:49:17
HS1262C,740561.721,2180756.275,527.081,233.0,-90.0,2018,STB,28U,0.0,2025-10-27 16:49:17
HS1264C,740892.542,2181534.4560000002,539.251,221.0,-90.0,2016,CSC,31M,0.0,2025-10-27 16:49:17
HS1268C,740589.23,2180702.515,527.059,232.0,-90.0,2018,VVI,28U,0.0,2025-10-27 16:49:17
HS1270C,740626.458,2180614.492,527.834,198.5,-90.0,2018,AXT,29V,0.0,2025-10-27 16:49:17
HS1283C,740199.2339999999,2181582.775,552.739,181.4,-90.0,2018,BPL,24M,0.0,2025-10-27 16:49:17
HS1287C,740291.658,2181404.119,562.676,255.0,-90.0,2018,STB,25N,0.0,2025-10-27 16:49:17
HS1291C,740521.115,2180964.216,510.345,223.0,-90.0,2018,STB,28S,0.0,2025-10-27 16:49:17
HS1297C,740799.971,2181374.304,522.833,220.0,-90.0,2017,STB,30O,0.0,2025-10-27 16:49:17
HS1343C,741865.78,2181073.16,541.9,163.0,-90.0,2017,BPL,"",0.0,2025-10-27 16:49:17
HS1354C,740315.041,2181463.053,555.443,238.4,-90.0,2018,VVI,26N,0.0,2025-10-27 16:49:17
